1.10022	0.52345
1.30022	0.42279
1.50054	0.291
1.70061	0.16329
1.90029	0.07361
2.10016	0.02912
2.30024	0.01565
2.50036	0.01558
2.70039	0.01811
2.90035	0.01904
3.10038	0.01791
3.3005	0.01554
3.50034	0.01285
3.70037	0.01041
3.90013	0.00847
4.10021	0.00708
4.30024	0.00614
4.50016	0.00556
4.70023	0.00519
4.90011	0.00489
5.10015	0.00451
5.30026	0.00399
5.50034	0.00329
5.70034	0.0025
5.90021	0.00171
6.10021	0.00102
6.30028	5.13467E-4
6.50028	2.12584E-4
6.70012	8.69776E-5
6.90019	7.45344E-5
7.10003	1.16561E-4
7.30014	1.58905E-4
7.50018	1.82141E-4
7.70018	1.82052E-4
7.90029	1.66842E-4
8.10017	1.47332E-4
8.30025	1.30044E-4
8.50024	1.13846E-4
8.70016	9.87303E-5
8.90027	8.0962E-5
9.10019	6.1315E-5
9.30023	4.26225E-5
9.50022	2.86614E-5
9.7003	2.13449E-5
9.90026	2.09638E-5
10.10025	2.54624E-5
10.30033	3.16162E-5
10.50024	3.63272E-5
10.70016	3.84664E-5
10.90024	3.73515E-5
11.10027	3.45273E-5
11.30023	3.04269E-5
11.50019	2.63954E-5
11.7003	2.2635E-5
11.90042	1.92537E-5
12.10025	1.57123E-5
12.30029	1.25955E-5
12.50029	9.5826E-6
12.70036	7.26683E-6
12.90024	5.70157E-6
13.10016	4.96426E-6
13.30023	4.85468E-6
13.50035	5.0419E-6
13.70022	5.38077E-6
13.9003	5.5065E-6
14.10022	5.30255E-6
14.30029	4.95182E-6
14.50029	4.50962E-6
14.70041	4.09637E-6
